Bill To:,,,,,,,,,,,,,,,,,,,,,,,
"NOAA Pacific
FINANCIAL MANAGEMENT DIVISION 7600 SAND POINT WAY NE
SEATTLE, WA 98115-6349",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Terms: NET 30,,,Due Date: 04/14/2021,,,,,,,,,,"Amount Due: $14,056.58",,,,,,,,,,
Payments by Check,,,Payments by Wire Transfer,,,,,,,,,,,,,,,,,,,,
Payable to:,,,Account Name: Inmarsat Government Inc.,,,,,,,,,,,,,,,,,,,,
Inmarsat Government Inc.,,,"Address: 11600 Sunrise Valley Drive, Suite 200,",,,,,,,,,,,,,,,,,,,,
Remittance Address:,,,"Reston, VA 20191",,,,,,,,,,,,,,,,,,,,
Inmarsat Government,,,Bank Name: Citibank,,,,,,,,,,,,,,,,,,,,
Attn: Accounts Receivable,,,"City/State: Reston, VA",,,,,,,,,,,,,,,,,,,,
"11600 Sunrise Valley Drive,",,,Account Number: 15437371,,,,,,,,,,,,,,,,,,,,
"Suite 200, Reston, VA 20191",,,A/T ABA No: 254070116,,,,,,,,,,,,,,,,,,,,
703-621-6450,,,Swift Code (for international wires): Citius 33,,,,,,,,,,,,,,,,,,,,
Purchase Orders on this Invoice,,,,,,,,,,,,,,,,,,,,,,,
"1305M319FNRMA
0221 P20001",,,,,,,,,,,,,,,,,,,,,,,
Non-Usage Charges,,,,,,,,,,,,,,,,,,,,,,,
Product Code,Description,,,,,,,,,Amount,,,,,,,,,,,,,
90190-90101,Iridium Subscription Fee,,,,,,,,,"$6,464.35",,,,,,,,,,,,,
90197-90169,SBD Monthly Subscription Fee(17000 bytes),,,,,,,,,"$1,199.73",,,,,,,,,,,,,
90217-90101,Iridium Subscription Fee,,,,,,,,,$95.98,,,,,,,,,,,,,
,,,,,,,,,,"$7,760.06",,,,,,,,,,,,,
Usage Charges,,,,,,,,,,,,,,,,,,,,,,,
Product Code,Description,,,,,,,,,Amount,,,,,,,,,,,,,
90190-90098,Iridium RUDICS   Circuit Switched Data Call,,,,,,,,,"$4,217.25",,,,,,,,,,,,,
90192-90171,SBD Usage,,,,,,,,,$2.00,,,,,,,,,,,,,
90192-92171,SBD Usage (out-of-allowance for 90192-90171),,,,,,,,,$120.92,,,,,,,,,,,,,
90536-90107,Iridium to PSTN Voice and Data Call,,,,,,,,,"$1,956.35",,,,,,,,,,,,,
,,,,,,,,,,"$6,296.52",,,,,,,,,,,,,
"Other Applied Charges/Credits
There are no other applied charges/credits",,,,,,,,,,,,,,,,,,,,,,,
Details By PO,,,,,,,,,,,,,,,,,,,,,,,
PO Number,,MSISDN,,,Product Code,,,Description,,,,Rate,,,,Quantity,,,Amount,,,,
"1305M319FNRMA
0221 P20001",,000000000100,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
10/11/2019 -,,,,,,,,Total for 000000000100,,,,,,,,,,,$13.79,,,,
09/14/2021,,,,,,,,,,,,,,,,,,,,,,,
,,000000000101,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000101,,,,,,,,,,,$13.79,,,,
,,000000000102,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000102,,,,,,,,,,,$13.79,,,,
,,000000000103,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000103,,,,,,,,,,,$13.79,,,,
,,000000000104,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000104,,,,,,,,,,,$13.79,,,,
,,000000000105,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000105,,,,,,,,,,,$13.79,,,,
,,000000000106,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000106,,,,,,,,,,,$13.79,,,,
,,000000000107,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000107,,,,,,,,,,,$13.79,,,,
,,000000000108,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000108,,,,,,,,,,,$13.79,,,,
,,000000000109,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000109,,,,,,,,,,,$13.79,,,,
,,000000000110,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000110,,,,,,,,,,,$13.79,,,,
,,000000000111,,,90197-90169,,,SBD Monthly Subscription Fee (17000 bytes),,,,$13.79,,,,1.00,,,$13.79,,,,
,,,,,,,,Total for 000000000111,,,,,,,,,,,$13.79,,,,
